timestamp,run_label,engine,scenario,time_seconds,memory_mb,cpu_count,cpu_count_logical,cpu_name,cpu_freq_mhz,memory_total_gb,memory_available_gb
2025-10-26T05:01:52.382812,batch,polars,large,0.2847,0.02,6,12,,4008,31.26,6.14
2025-10-26T05:01:52.382812,batch,polars,xlarge,4.4379,0.03,6,12,,4008,31.26,6.14
2025-10-26T05:05:29.031073,batch,polars,small,0.012,0.0,6,12,,4207,31.26,8.04
2025-10-26T05:05:29.031073,batch,polars,medium,0.0501,0.02,6,12,,4207,31.26,8.04
2025-10-26T05:05:29.031073,batch,polars,large,0.2793,0.02,6,12,,4207,31.26,8.04
2025-10-26T05:05:29.031073,batch,polars,xlarge,4.6767,0.03,6,12,,4207,31.26,8.04
2025-10-26T05:09:12.118464,batch,polars,small,0.0125,0.0,6,12,,4432,31.26,9.15
2025-10-26T05:09:12.118464,batch,polars,medium,0.0441,0.02,6,12,,4432,31.26,9.15
2025-10-26T05:09:12.118464,batch,polars,large,0.2797,0.02,6,12,,4432,31.26,9.15
2025-10-26T05:09:12.118464,batch,polars,xlarge,5.4004,0.03,6,12,,4432,31.26,9.15
2025-10-26T05:12:48.212143,batch,polars,small,0.0136,0.0,6,12,,4219,31.26,9.36
2025-10-26T05:12:48.212143,batch,polars,medium,0.0444,0.02,6,12,,4219,31.26,9.36
2025-10-26T05:12:48.212143,batch,polars,large,0.299,0.02,6,12,,4219,31.26,9.36
2025-10-26T05:12:48.212143,batch,polars,xlarge,7.5461,0.03,6,12,,4219,31.26,9.36
2025-10-26T05:16:28.945188,batch,polars,small,0.018,0.0,6,12,,4107,31.26,8.73
2025-10-26T05:16:28.945188,batch,polars,medium,0.0471,0.02,6,12,,4107,31.26,8.73
2025-10-26T05:16:28.945188,batch,polars,large,0.3078,0.02,6,12,,4107,31.26,8.73
2025-10-26T05:16:28.945188,batch,polars,xlarge,4.5474,0.03,6,12,,4107,31.26,8.73
2025-10-26T05:20:05.582771,batch,polars,small,0.0123,0.0,6,12,,4319,31.26,8.98
